Model Name,State Dim,Action Dim,Transition Density,Transition Average,Transition Std,Reward Density,Reward Average,Reward Std,Final Precision,Discount,Best Solver
100_4_rooms,100,4,0.018125,0.01,0.3222985226358048,0.99,-0.99,0.0994987437106619,0.1,0.5,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.1,0.8,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.01,0.8,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.001,0.8,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.0001,0.8,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-05,0.8,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-06,0.8,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.1,0.9,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.01,0.9,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.001,0.9,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.0001,0.9,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-05,0.9,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-06,0.9,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.1,0.99,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.01,0.99,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.001,0.99,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.0001,0.99,marmote_vigs
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-05,0.99,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-06,0.99,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.1,0.999,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.01,0.999,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.001,0.999,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,0.0001,0.999,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-05,0.999,marmote_vi
1000_10_replacement,1000,10,0.0017991,0.001,0.4746328041361803,1.0,-446.00497997998,700.8190690638053,1e-06,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.1,0.8,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.01,0.8,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.001,0.8,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.0001,0.8,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-05,0.8,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-06,0.8,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.1,0.9,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.01,0.9,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.001,0.9,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.0001,0.9,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-05,0.9,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-06,0.9,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.1,0.99,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.01,0.99,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.001,0.99,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.0001,0.99,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-05,0.99,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-06,0.99,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.1,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.01,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.001,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.0001,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-05,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-06,0.999,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.1,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.01,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.001,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.0001,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-05,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-06,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.1,0.9,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.01,0.9,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.001,0.9,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.0001,0.9,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-05,0.9,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-06,0.9,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.1,0.99,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.01,0.99,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.001,0.99,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.0001,0.99,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-05,0.99,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-06,0.99,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.1,0.999,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.01,0.999,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.001,0.999,marmote_vigs
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.0001,0.999,marmote_vigs
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-05,0.999,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,1e-06,0.999,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.1,0.8,marmote_vigs
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.01,0.8,marmote_vigs
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.001,0.8,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.0001,0.8,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-05,0.8,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-06,0.8,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.1,0.9,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.01,0.9,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.001,0.9,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.0001,0.9,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-05,0.9,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-06,0.9,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.1,0.99,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.01,0.99,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.001,0.99,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.0001,0.99,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-05,0.99,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-06,0.99,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.1,0.999,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.01,0.999,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.001,0.999,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,0.0001,0.999,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-05,0.999,marmote_vi
1000_10_inventory,999,10,0.003002602201801401,0.0010010010010010008,0.13206236811667532,0.9998998998998999,771.7492492492493,520.0946828858214,1e-06,0.999,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.1,0.8,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.01,0.8,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.001,0.8,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.0001,0.8,marmote_vigs
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-05,0.8,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-06,0.8,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.1,0.9,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.01,0.9,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.001,0.9,marmote_vigs
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.0001,0.9,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-05,0.9,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-06,0.9,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.1,0.99,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.01,0.99,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.001,0.99,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.0001,0.99,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-05,0.99,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-06,0.99,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.1,0.999,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.01,0.999,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.001,0.999,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,0.0001,0.999,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-05,0.999,marmote_vi
10000_10_inventory,9999,10,0.00030002600220018,0.00010001000100009999,0.13200017130249708,0.9999899989998999,7521.7499249924995,5203.664427993667,1e-06,0.999,marmote_vi
